,x,y,t,PM10,SO2,NO2,O3,CO,z,dataset
1458,115.9577,39.7603,60,103.0,1.0,55.0,45.0,0.8,109.0,train
1459,116.4672,39.7733,60,89.0,3.0,43.0,20.0,0.8,139.0,train
1460,115.986,40.4563,60,45.0,3.0,18.0,41.0,0.7,69.0,train
1461,116.6151,40.3053,60,81.0,2.0,30.0,44.0,0.7,94.0,train
1462,116.2545,39.8768,60,149.0,1.0,76.0,12.0,1.0,118.0,train
1463,116.84,40.3844,60,82.0,5.0,31.0,45.0,0.7,96.0,train
1464,116.3621,39.8784,61,109.0,3.0,77.0,18.0,0.8,118.0,train
1465,116.2202,40.2915,61,67.0,1.0,34.0,40.0,0.7,75.0,test
1466,116.4174,39.9289,61,114.0,3.0,73.0,27.0,1.0,118.0,train
1467,116.4072,39.8863,61,118.0,2.0,83.0,16.0,1.1,127.0,test
1468,116.462,39.9365,61,13.0,3.0,54.0,24.0,1.0,125.0,train
1469,116.3392,39.9295,61,110.0,5.0,80.0,19.0,1.0,119.0,test
1471,116.6636,40.135,61,92.0,2.0,37.0,49.0,0.7,97.0,train
1472,116.6275,40.3275,61,81.0,1.0,32.0,55.0,0.6,98.0,train
1473,116.2296,40.217,61,72.0,1.0,40.0,33.0,0.8,88.0,train
1474,116.3966,39.9821,61,98.0,3.0,70.0,36.0,0.9,119.0,train
1476,115.9718,40.4529,61,42.0,1.0,17.0,47.0,0.6,67.0,train
1477,117.0709,40.1465,61,15.0,1.0,26.0,61.0,0.8,100.0,train
1478,116.8336,40.4095,61,78.0,1.0,32.0,52.0,0.7,96.0,train
1479,116.088,39.9726,61,96.0,3.0,55.0,32.0,0.8,99.0,train
1480,116.1541,39.8204,61,111.0,3.0,65.0,19.0,0.9,105.0,train
1481,116.6804,39.9081,61,104.0,3.0,40.0,34.0,0.9,131.0,train
1482,115.9577,39.7603,61,104.0,1.0,59.0,61.0,0.8,113.0,train
1483,116.4672,39.7733,61,89.0,3.0,36.0,28.0,0.8,136.0,train
1484,115.986,40.4563,61,42.0,4.0,20.0,47.0,0.7,64.0,train
1485,116.6151,40.3053,61,79.0,2.0,29.0,51.0,0.7,92.0,train
1486,116.2545,39.8768,61,128.0,1.0,74.0,15.0,1.0,128.0,train
1487,116.84,40.3844,61,81.0,5.0,31.0,55.0,0.6,95.0,train
1488,116.3621,39.8784,62,106.0,2.0,66.0,28.0,0.7,125.0,train
1489,116.2202,40.2915,62,72.0,1.0,41.0,41.0,0.7,75.0,test
1490,116.4174,39.9289,62,117.0,3.0,69.0,29.0,1.0,130.0,test
1491,116.4072,39.8863,62,110.0,1.0,68.0,28.0,1.0,134.0,train
1492,116.462,39.9365,62,3.0,2.0,68.0,28.0,1.1,138.0,train
1493,116.3392,39.9295,62,118.0,5.0,79.0,21.0,1.0,127.0,train
1494,116.2878,39.9611,62,125.0,3.0,89.0,16.0,1.0,113.0,test
1495,116.6636,40.135,62,95.0,2.0,45.0,49.0,0.7,99.0,train
1496,116.6275,40.3275,62,83.0,1.0,36.0,57.0,0.6,101.0,train
1497,116.2296,40.217,62,70.0,1.0,40.0,42.0,0.8,86.0,train
1498,116.3966,39.9821,62,119.0,2.0,82.0,33.0,1.0,132.0,train
1499,116.184,39.9136,62,125.0,3.0,81.0,19.0,1.0,116.0,train
1500,115.9718,40.4529,62,45.0,3.0,18.0,58.0,0.6,54.0,train
1501,117.0709,40.1465,62,72.0,1.0,36.0,60.0,0.8,110.0,train
1502,116.8336,40.4095,62,85.0,1.0,29.0,62.0,0.6,95.0,test
1503,116.088,39.9726,62,109.0,3.0,64.0,28.0,0.8,106.0,train
1504,116.1541,39.8204,62,112.0,3.0,61.0,27.0,0.8,115.0,train
1505,116.6804,39.9081,62,110.0,3.0,46.0,30.0,0.8,134.0,train
1506,115.9577,39.7603,62,108.0,1.0,62.0,67.0,0.8,117.0,train
1507,116.4672,39.7733,62,85.0,3.0,34.0,32.0,0.8,132.0,train
1508,115.986,40.4563,62,44.0,5.0,25.0,51.0,0.7,55.0,train
1509,116.6151,40.3053,62,83.0,2.0,37.0,52.0,0.7,96.0,test
1510,116.2545,39.8768,62,120.0,1.0,64.0,25.0,0.9,135.0,train
1511,116.84,40.3844,62,81.0,5.0,28.0,63.0,0.6,95.0,test
1512,116.3621,39.8784,63,103.0,2.0,58.0,31.0,0.7,126.0,train
1513,116.2202,40.2915,63,72.0,2.0,47.0,44.0,0.7,71.0,train
1514,116.4174,39.9289,63,111.0,3.0,59.0,33.0,0.9,133.0,train
1515,116.4072,39.8863,63,103.0,1.0,57.0,32.0,1.0,134.0,train
1516,116.462,39.9365,63,129.0,2.0,58.0,33.0,1.1,142.0,train
1517,116.3392,39.9295,63,108.0,4.0,64.0,26.0,0.9,133.0,test
1518,116.2878,39.9611,63,129.0,3.0,81.0,18.0,1.0,121.0,test
1519,116.6636,40.135,63,121.0,1.0,57.0,40.0,0.8,108.0,train
1520,116.6275,40.3275,63,96.0,1.0,52.0,54.0,0.6,103.0,test
1521,116.2296,40.217,63,88.0,1.0,49.0,45.0,0.8,90.0,train
1522,116.3966,39.9821,63,117.0,2.0,76.0,34.0,0.9,141.0,train
1523,116.184,39.9136,63,122.0,3.0,80.0,21.0,1.0,121.0,test
1524,115.9718,40.4529,63,63.0,2.0,29.0,45.0,0.6,53.0,train
1525,117.0709,40.1465,63,96.0,1.0,34.0,66.0,0.9,123.0,train
1526,116.8336,40.4095,63,92.0,3.0,30.0,67.0,0.6,102.0,train
1527,116.088,39.9726,63,110.0,3.0,69.0,23.0,0.8,113.0,train
1528,116.1541,39.8204,63,101.0,3.0,50.0,41.0,0.8,120.0,train
1529,116.6804,39.9081,63,116.0,3.0,47.0,27.0,0.9,134.0,train
1530,115.9577,39.7603,63,112.0,1.0,63.0,73.0,0.8,123.0,train
1531,116.4672,39.7733,63,77.0,3.0,32.0,36.0,0.8,123.0,train
1532,115.986,40.4563,63,62.0,4.0,36.0,38.0,0.7,56.0,train
1533,116.6151,40.3053,63,88.0,2.0,52.0,50.0,0.7,96.0,train
1534,116.2545,39.8768,63,114.0,1.0,55.0,34.0,0.8,134.0,train
1535,116.84,40.3844,63,93.0,5.0,33.0,65.0,0.6,99.0,train
1536,116.3621,39.8784,64,98.0,2.0,59.0,28.0,0.7,122.0,train
1537,116.2202,40.2915,64,92.0,1.0,58.0,45.0,0.8,75.0,test
1538,116.4174,39.9289,64,101.0,3.0,54.0,31.0,0.9,131.0,train
1539,116.4072,39.8863,64,96.0,1.0,58.0,28.0,1.0,129.0,train
1540,116.462,39.9365,64,97.0,2.0,56.0,26.0,1.0,137.0,train
1541,116.3392,39.9295,64,111.0,4.0,59.0,24.0,0.9,132.0,train
1542,116.2878,39.9611,64,122.0,2.0,74.0,19.0,0.9,126.0,train
1543,116.6636,40.135,64,110.0,1.0,62.0,31.0,0.9,113.0,train
1544,116.6275,40.3275,64,108.0,1.0,53.0,54.0,0.6,110.0,train
1545,116.2296,40.217,64,99.0,1.0,62.0,37.0,0.9,99.0,train
1546,116.3966,39.9821,64,113.0,1.0,62.0,35.0,0.9,148.0,test
1547,116.184,39.9136,64,125.0,2.0,69.0,26.0,1.0,129.0,train
1548,115.9718,40.4529,64,51.0,3.0,27.0,55.0,0.5,37.0,train
1549,117.0709,40.1465,64,107.0,1.0,40.0,64.0,0.9,136.0,train
1550,116.8336,40.4095,64,95.0,3.0,35.0,65.0,0.6,103.0,train
1551,116.088,39.9726,64,108.0,3.0,72.0,18.0,0.8,120.0,train
1552,116.1541,39.8204,64,104.0,3.0,44.0,48.0,0.8,126.0,train
1553,116.6804,39.9081,64,99.0,3.0,44.0,29.0,0.9,133.0,train
1554,115.9577,39.7603,64,111.0,2.0,60.0,64.0,0.7,123.0,train
1555,116.4672,39.7733,64,71.0,3.0,36.0,32.0,0.8,113.0,train
1556,115.986,40.4563,64,61.0,4.0,35.0,46.0,0.7,41.0,train
1557,116.6151,40.3053,64,103.0,1.0,53.0,47.0,0.8,103.0,train
1558,116.2545,39.8768,64,113.0,3.0,55.0,30.0,0.8,133.0,train
1559,116.84,40.3844,64,100.0,5.0,39.0,61.0,0.6,104.0,test
1560,116.3621,39.8784,65,88.0,1.0,58.0,19.0,0.7,113.0,train
1561,116.2202,40.2915,65,109.0,1.0,75.0,31.0,0.8,82.0,train
1562,116.4174,39.9289,65,90.0,3.0,56.0,24.0,0.9,123.0,train
1563,116.4072,39.8863,65,81.0,1.0,57.0,21.0,0.9,121.0,train
1564,116.462,39.9365,65,91.0,1.0,56.0,21.0,1.0,130.0,train
1565,116.3392,39.9295,65,101.0,3.0,58.0,18.0,0.9,126.0,train
1566,116.2878,39.9611,65,110.0,2.0,68.0,19.0,0.9,122.0,test
1567,116.6636,40.135,65,118.0,1.0,71.0,16.0,0.9,115.0,train
1568,116.6275,40.3275,65,120.0,3.0,67.0,35.0,0.8,121.0,train
1569,116.2296,40.217,65,143.0,3.0,104.0,9.0,1.2,129.0,train
1570,116.3966,39.9821,65,102.0,1.0,61.0,29.0,0.9,143.0,train
1571,116.184,39.9136,65,121.0,2.0,60.0,27.0,0.9,129.0,train
1572,115.9718,40.4529,65,58.0,2.0,27.0,56.0,0.5,31.0,test
1573,117.0709,40.1465,65,127.0,1.0,50.0,53.0,1.0,150.0,test
1574,116.8336,40.4095,65,130.0,3.0,57.0,41.0,0.8,125.0,test
1575,116.088,39.9726,65,111.0,3.0,69.0,19.0,0.8,129.0,train
1576,116.1541,39.8204,65,95.0,3.0,45.0,31.0,0.8,116.0,train
1577,116.6804,39.9081,65,85.0,3.0,48.0,21.0,0.9,125.0,train
1578,115.9577,39.7603,65,128.0,1.0,54.0,33.0,0.7,117.0,train
1579,116.4672,39.7733,65,69.0,3.0,45.0,22.0,0.8,104.0,train
1580,115.986,40.4563,65,52.0,4.0,24.0,59.0,0.6,34.0,train
1581,116.6151,40.3053,65,128.0,1.0,70.0,28.0,1.0,122.0,train
1582,116.2545,39.8768,65,96.0,3.0,56.0,24.0,0.8,127.0,train
1583,116.84,40.3844,65,118.0,5.0,53.0,45.0,0.7,118.0,train
1584,116.3621,39.8784,66,86.0,1.0,67.0,5.0,0.8,105.0,train
1585,116.2202,40.2915,66,128.0,3.0,85.0,11.0,1.0,93.0,test
1586,116.4174,39.9289,66,81.0,3.0,59.0,14.0,0.9,113.0,train
1587,116.4072,39.8863,66,70.0,1.0,61.0,11.0,0.9,111.0,test
1588,116.462,39.9365,66,80.0,1.0,57.0,12.0,1.0,119.0,train
1589,116.3392,39.9295,66,94.0,4.0,63.0,3.0,0.9,118.0,train
1590,116.2878,39.9611,66,104.0,2.0,69.0,10.0,0.9,118.0,train
1591,116.6636,40.135,66,122.0,3.0,73.0,4.0,1.0,111.0,train
1592,116.6275,40.3275,66,127.0,3.0,78.0,15.0,0.9,130.0,train
1593,116.2296,40.217,66,139.0,3.0,99.0,3.0,1.2,135.0,test
1594,116.3966,39.9821,66,89.0,1.0,62.0,19.0,0.8,138.0,train
1595,116.184,39.9136,66,112.0,2.0,63.0,15.0,1.0,126.0,train
1596,115.9718,40.4529,66,80.0,1.0,42.0,41.0,0.6,55.0,test
1597,117.0709,40.1465,66,125.0,1.0,45.0,39.0,1.0,148.0,train
1598,116.8336,40.4095,66,137.0,3.0,63.0,25.0,0.8,138.0,train
1599,116.088,39.9726,66,121.0,3.0,66.0,18.0,0.8,138.0,train
1600,116.1541,39.8204,66,84.0,3.0,54.0,18.0,0.8,118.0,train
1601,116.6804,39.9081,66,79.0,3.0,53.0,13.0,0.9,120.0,train
1602,115.9577,39.7603,66,115.0,1.0,59.0,19.0,0.7,117.0,train
1603,116.4672,39.7733,66,62.0,3.0,55.0,5.0,0.8,98.0,train
1604,115.986,40.4563,66,75.0,3.0,38.0,42.0,0.7,50.0,train
1605,116.6151,40.3053,66,126.0,3.0,75.0,11.0,1.0,128.0,train
1606,116.2545,39.8768,66,81.0,3.0,57.0,13.0,0.8,115.0,test
1607,116.84,40.3844,66,114.0,5.0,47.0,37.0,0.8,127.0,train
1608,116.3621,39.8784,67,76.0,1.0,65.0,4.0,0.7,103.0,test
1609,116.2202,40.2915,67,142.0,3.0,88.0,2.0,1.1,111.0,train
1610,116.4174,39.9289,67,79.0,3.0,63.0,8.0,1.0,107.0,train
1611,116.4072,39.8863,67,65.0,1.0,55.0,5.0,0.9,108.0,train
1612,116.462,39.9365,67,79.0,1.0,61.0,4.0,1.0,116.0,train
1613,116.3392,39.9295,67,82.0,3.0,58.0,7.0,0.9,113.0,train
1614,116.2878,39.9611,67,90.0,2.0,67.0,5.0,0.9,113.0,train
1615,116.6636,40.135,67,107.0,3.0,72.0,1.0,1.0,108.0,train
1617,116.2296,40.217,67,131.0,3.0,86.0,2.0,1.1,140.0,train
1618,116.3966,39.9821,67,82.0,1.0,66.0,10.0,0.9,133.0,train
1619,116.184,39.9136,67,109.0,2.0,66.0,9.0,1.0,130.0,train
1620,115.9718,40.4529,67,104.0,3.0,61.0,25.0,0.8,88.0,train
1621,117.0709,40.1465,67,119.0,1.0,51.0,19.0,1.1,137.0,test
1622,116.8336,40.4095,67,135.0,3.0,54.0,19.0,0.9,147.0,train
1623,116.088,39.9726,67,120.0,3.0,63.0,10.0,0.9,147.0,train
1624,116.1541,39.8204,67,85.0,3.0,51.0,9.0,0.8,119.0,train
1625,116.6804,39.9081,67,70.0,3.0,55.0,8.0,0.9,113.0,train
1626,115.9577,39.7603,67,99.0,1.0,55.0,9.0,0.8,121.0,train
1627,116.4672,39.7733,67,60.0,3.0,54.0,1.0,0.8,91.0,train
1628,115.986,40.4563,67,105.0,3.0,59.0,26.0,0.9,82.0,train
1629,116.6151,40.3053,67,135.0,3.0,78.0,1.0,1.1,134.0,train
1630,116.2545,39.8768,67,88.0,3.0,64.0,3.0,0.8,119.0,test
1631,116.84,40.3844,67,121.0,5.0,54.0,20.0,0.9,133.0,train
1632,116.3621,39.8784,68,74.0,1.0,63.0,1.0,0.8,101.0,train
1633,116.2202,40.2915,68,110.0,3.0,71.0,2.0,1.0,107.0,test
1634,116.4174,39.9289,68,83.0,3.0,66.0,3.0,1.0,107.0,train
1637,116.3392,39.9295,68,82.0,3.0,53.0,8.0,0.9,116.0,train
1638,116.2878,39.9611,68,88.0,2.0,65.0,3.0,0.9,117.0,train
1641,116.2296,40.217,68,122.0,3.0,76.0,2.0,1.1,139.0,train
1642,116.3966,39.9821,68,77.0,1.0,66.0,10.0,1.0,128.0,train
1643,116.184,39.9136,68,109.0,3.0,71.0,5.0,1.0,132.0,train
1644,115.9718,40.4529,68,96.0,3.0,49.0,28.0,0.8,85.0,train
1645,117.0709,40.1465,68,110.0,1.0,48.0,10.0,1.0,121.0,train
1646,116.8336,40.4095,68,129.0,3.0,66.0,4.0,1.0,141.0,test
1647,116.088,39.9726,68,121.0,3.0,56.0,3.0,1.1,138.0,train
1648,116.1541,39.8204,68,89.0,3.0,58.0,5.0,0.9,116.0,train
1650,115.9577,39.7603,68,101.0,1.0,44.0,9.0,0.8,119.0,train
1651,116.4672,39.7733,68,59.0,3.0,52.0,1.0,0.9,85.0,train
1652,115.986,40.4563,68,95.0,3.0,45.0,32.0,0.8,79.0,train
1653,116.6151,40.3053,68,116.0,3.0,63.0,1.0,1.1,128.0,train
1655,116.84,40.3844,68,120.0,5.0,66.0,2.0,1.0,132.0,train
1657,116.2202,40.2915,69,91.0,3.0,57.0,2.0,0.9,104.0,train
1658,116.4174,39.9289,69,85.0,3.0,68.0,1.0,1.1,104.0,train
1662,116.2878,39.9611,69,95.0,2.0,65.0,2.0,1.0,116.0,train
1665,116.2296,40.217,69,108.0,3.0,70.0,2.0,1.1,135.0,test
1666,116.3966,39.9821,69,79.0,1.0,67.0,8.0,1.0,126.0,train
1667,116.184,39.9136,69,115.0,3.0,74.0,2.0,1.1,129.0,train
1668,115.9718,40.4529,69,79.0,3.0,37.0,25.0,0.8,78.0,train
1669,117.0709,40.1465,69,101.0,1.0,43.0,14.0,1.0,105.0,test
1670,116.8336,40.4095,69,120.0,3.0,63.0,3.0,1.0,126.0,train
1671,116.088,39.9726,69,123.0,3.0,44.0,2.0,1.1,133.0,train
1672,116.1541,39.8204,69,89.0,3.0,57.0,2.0,0.9,108.0,train
1674,115.9577,39.7603,69,89.0,1.0,42.0,7.0,0.8,114.0,train
1675,116.4672,39.7733,69,67.0,3.0,50.0,1.0,0.9,81.0,test
1676,115.986,40.4563,69,70.0,3.0,36.0,26.0,0.8,74.0,test
1681,116.2202,40.2915,70,92.0,3.0,51.0,1.0,0.9,104.0,train
1682,116.4174,39.9289,70,82.0,3.0,68.0,1.0,1.2,99.0,train
1686,116.2878,39.9611,70,93.0,2.0,63.0,1.0,1.0,109.0,train
1687,116.6636,40.135,70,108.0,3.0,54.0,3.0,1.0,94.0,train
1689,116.2296,40.217,70,102.0,3.0,66.0,2.0,1.1,129.0,train
1690,116.3966,39.9821,70,81.0,1.0,66.0,7.0,1.0,123.0,train
1691,116.184,39.9136,70,126.0,3.0,72.0,1.0,1.1,123.0,train
1692,115.9718,40.4529,70,89.0,3.0,45.0,19.0,0.8,95.0,train
1693,117.0709,40.1465,70,106.0,1.0,39.0,17.0,1.0,112.0,test
1694,116.8336,40.4095,70,117.0,3.0,54.0,6.0,1.0,123.0,train
1695,116.088,39.9726,70,123.0,3.0,40.0,1.0,1.1,117.0,train
1698,115.9577,39.7603,70,88.0,1.0,39.0,6.0,0.8,108.0,train
1699,116.4672,39.7733,70,73.0,3.0,51.0,1.0,1.0,78.0,test
1700,115.986,40.4563,70,76.0,3.0,42.0,16.0,0.9,82.0,test
1701,116.6151,40.3053,70,102.0,3.0,56.0,1.0,1.0,114.0,test
1705,116.2202,40.2915,71,90.0,3.0,50.0,1.0,1.0,105.0,test
1710,116.2878,39.9611,71,93.0,3.0,53.0,1.0,1.2,106.0,train
1711,116.6636,40.135,71,92.0,3.0,47.0,7.0,0.9,97.0,train
1713,116.2296,40.217,71,85.0,3.0,59.0,2.0,1.0,126.0,train
1714,116.3966,39.9821,71,70.0,1.0,61.0,6.0,1.0,112.0,train
1715,116.184,39.9136,71,116.0,3.0,68.0,1.0,1.1,123.0,train
1716,115.9718,40.4529,71,88.0,3.0,51.0,7.0,0.9,96.0,train
1717,117.0709,40.1465,71,112.0,1.0,40.0,18.0,1.0,127.0,train
1718,116.8336,40.4095,71,118.0,3.0,46.0,8.0,0.9,132.0,train
1720,116.1541,39.8204,71,90.0,3.0,65.0,1.0,0.9,93.0,train
1722,115.9577,39.7603,71,84.0,1.0,36.0,5.0,0.8,104.0,train
1723,116.4672,39.7733,71,81.0,3.0,48.0,1.0,0.9,77.0,train
1724,115.986,40.4563,71,72.0,3.0,44.0,6.0,0.9,82.0,train
1725,116.6151,40.3053,71,104.0,3.0,55.0,1.0,1.0,116.0,test
1727,116.84,40.3844,71,118.0,4.0,45.0,5.0,1.0,127.0,train
1729,116.2202,40.2915,72,82.0,3.0,42.0,1.0,0.8,97.0,train
1734,116.2878,39.9611,72,96.0,2.0,51.0,1.0,1.1,97.0,train
1735,116.6636,40.135,72,90.0,3.0,41.0,11.0,0.9,107.0,train
1736,116.6275,40.3275,72,105.0,3.0,59.0,1.0,0.9,124.0,train
1737,116.2296,40.217,72,96.0,3.0,60.0,1.0,1.0,119.0,train
1738,116.3966,39.9821,72,80.0,1.0,60.0,6.0,1.1,98.0,train
1739,116.184,39.9136,72,160.0,4.0,67.0,2.0,1.2,127.0,train
1740,115.9718,40.4529,72,88.0,3.0,45.0,4.0,0.9,86.0,train
1741,117.0709,40.1465,72,97.0,1.0,32.0,24.0,1.0,133.0,train
1742,116.8336,40.4095,72,110.0,3.0,43.0,11.0,0.9,140.0,train
1743,116.088,39.9726,72,96.0,3.0,36.0,1.0,1.1,101.0,test
1746,115.9577,39.7603,72,85.0,1.0,36.0,6.0,0.8,102.0,train
1747,116.4672,39.7733,72,68.0,3.0,50.0,1.0,0.9,48.0,train
1748,115.986,40.4563,72,75.0,3.0,39.0,3.0,1.0,77.0,train
1749,116.6151,40.3053,72,93.0,3.0,53.0,1.0,1.0,128.0,train
1751,116.84,40.3844,72,110.0,4.0,37.0,15.0,0.9,144.0,test
1758,116.2878,39.9611,73,111.0,3.0,58.0,1.0,1.0,103.0,train
1759,116.6636,40.135,73,105.0,3.0,33.0,16.0,0.9,113.0,train
1760,116.6275,40.3275,73,104.0,3.0,55.0,6.0,0.9,126.0,train
1761,116.2296,40.217,73,86.0,3.0,64.0,1.0,1.0,124.0,train
1762,116.3966,39.9821,73,88.0,1.0,59.0,6.0,1.1,104.0,train
1763,116.184,39.9136,73,163.0,4.0,60.0,2.0,1.2,127.0,train
1764,115.9718,40.4529,73,72.0,3.0,41.0,3.0,0.9,68.0,train
1765,117.0709,40.1465,73,100.0,3.0,26.0,24.0,0.9,131.0,train
1766,116.8336,40.4095,73,107.0,3.0,34.0,19.0,0.9,143.0,train
1767,116.088,39.9726,73,111.0,3.0,39.0,1.0,0.8,95.0,train
1770,115.9577,39.7603,73,83.0,3.0,30.0,5.0,0.8,99.0,test
1771,116.4672,39.7733,73,55.0,3.0,48.0,1.0,0.9,46.0,test
1772,115.986,40.4563,73,67.0,3.0,35.0,3.0,1.0,67.0,train
1773,116.6151,40.3053,73,96.0,3.0,52.0,6.0,1.0,131.0,test
1775,116.84,40.3844,73,111.0,4.0,37.0,16.0,0.9,149.0,train
1782,116.2878,39.9611,74,113.0,2.0,61.0,1.0,1.1,107.0,train
1783,116.6636,40.135,74,94.0,3.0,31.0,16.0,0.9,115.0,train
1784,116.6275,40.3275,74,98.0,3.0,53.0,7.0,0.9,127.0,train
1785,116.2296,40.217,74,89.0,3.0,62.0,1.0,1.0,126.0,train
1786,116.3966,39.9821,74,92.0,2.0,60.0,6.0,1.0,122.0,train
1787,116.184,39.9136,74,151.0,2.0,57.0,2.0,1.2,128.0,train
1788,115.9718,40.4529,74,34.0,3.0,47.0,1.0,0.9,29.0,train
1789,117.0709,40.1465,74,93.0,3.0,25.0,24.0,0.9,147.0,test
1790,116.8336,40.4095,74,101.0,3.0,32.0,20.0,0.9,147.0,train
1794,115.9577,39.7603,74,81.0,3.0,25.0,4.0,0.8,96.0,train
1795,116.4672,39.7733,74,52.0,2.0,49.0,1.0,0.9,53.0,train
1796,115.986,40.4563,74,46.0,2.0,47.0,3.0,1.0,31.0,train
1797,116.6151,40.3053,74,96.0,1.0,47.0,9.0,0.9,141.0,train
1799,116.84,40.3844,74,105.0,4.0,33.0,19.0,0.9,152.0,train
1806,116.2878,39.9611,75,108.0,2.0,59.0,1.0,1.0,106.0,test
1807,116.6636,40.135,75,99.0,3.0,29.0,19.0,0.8,123.0,test
1808,116.6275,40.3275,75,100.0,3.0,50.0,6.0,0.8,131.0,train
1809,116.2296,40.217,75,95.0,3.0,59.0,1.0,1.0,126.0,train
1810,116.3966,39.9821,75,91.0,2.0,63.0,6.0,1.0,131.0,train
1811,116.184,39.9136,75,121.0,3.0,63.0,1.0,1.0,129.0,train
1812,115.9718,40.4529,75,17.0,3.0,43.0,1.0,0.8,22.0,train
1813,117.0709,40.1465,75,99.0,3.0,24.0,28.0,0.9,146.0,train
1814,116.8336,40.4095,75,97.0,3.0,32.0,20.0,0.8,148.0,train
1818,115.9577,39.7603,75,64.0,3.0,25.0,7.0,0.7,106.0,test
1819,116.4672,39.7733,75,69.0,1.0,47.0,1.0,0.9,65.0,test
1820,115.986,40.4563,75,15.0,3.0,43.0,2.0,0.9,25.0,train
1821,116.6151,40.3053,75,102.0,1.0,43.0,9.0,0.9,149.0,train
1823,116.84,40.3844,75,106.0,4.0,35.0,16.0,0.9,156.0,train
1825,116.2202,40.2915,76,82.0,3.0,53.0,2.0,0.9,101.0,train
1831,116.6636,40.135,76,103.0,3.0,28.0,22.0,0.8,129.0,train
1832,116.6275,40.3275,76,102.0,3.0,40.0,10.0,0.8,137.0,train
1833,116.2296,40.217,76,99.0,3.0,58.0,1.0,1.0,129.0,train
1834,116.3966,39.9821,76,101.0,1.0,65.0,6.0,0.9,138.0,test
1836,115.9718,40.4529,76,14.0,3.0,40.0,1.0,0.8,20.0,test
1837,117.0709,40.1465,76,101.0,3.0,23.0,28.0,0.9,146.0,test
1838,116.8336,40.4095,76,93.0,3.0,30.0,19.0,0.8,149.0,train
1842,115.9577,39.7603,76,81.0,3.0,28.0,8.0,0.7,105.0,train
1843,116.4672,39.7733,76,82.0,1.0,48.0,1.0,0.9,72.0,test
1844,115.986,40.4563,76,11.0,3.0,37.0,2.0,0.9,22.0,test
1845,116.6151,40.3053,76,100.0,1.0,42.0,9.0,0.9,151.0,test
1847,116.84,40.3844,76,99.0,4.0,31.0,21.0,0.9,153.0,train
1849,116.2202,40.2915,77,78.0,3.0,48.0,4.0,0.8,105.0,test
1855,116.6636,40.135,77,101.0,3.0,25.0,21.0,0.8,132.0,test
1856,116.6275,40.3275,77,99.0,3.0,47.0,7.0,0.8,138.0,train
1857,116.2296,40.217,77,99.0,3.0,61.0,1.0,1.0,129.0,train
1858,116.3966,39.9821,77,100.0,1.0,66.0,6.0,0.9,142.0,train
1860,115.9718,40.4529,77,16.0,3.0,34.0,1.0,0.8,20.0,train
1861,117.0709,40.1465,77,102.0,3.0,21.0,27.0,0.9,142.0,train
1862,116.8336,40.4095,77,93.0,3.0,29.0,16.0,0.8,150.0,train
1866,115.9577,39.7603,77,83.0,3.0,30.0,8.0,0.7,98.0,train
1867,116.4672,39.7733,77,98.0,1.0,51.0,1.0,0.9,78.0,train
1868,115.986,40.4563,77,13.0,3.0,32.0,2.0,0.9,22.0,train
1869,116.6151,40.3053,77,100.0,1.0,40.0,9.0,0.9,149.0,train
1871,116.84,40.3844,77,101.0,4.0,33.0,19.0,0.9,156.0,train
1873,116.2202,40.2915,78,82.0,3.0,48.0,4.0,0.8,106.0,train
1876,116.462,39.9365,78,99.0,1.0,59.0,1.0,1.0,131.0,train
1879,116.6636,40.135,78,104.0,3.0,27.0,20.0,0.8,134.0,test
1880,116.6275,40.3275,78,92.0,3.0,43.0,6.0,0.8,133.0,train
1881,116.2296,40.217,78,99.0,3.0,63.0,1.0,1.0,130.0,test
1882,116.3966,39.9821,78,98.0,1.0,63.0,7.0,0.9,145.0,train
1885,117.0709,40.1465,78,97.0,3.0,19.0,30.0,0.9,135.0,train
1886,116.8336,40.4095,78,98.0,3.0,29.0,13.0,0.8,151.0,train
1889,116.6804,39.9081,78,127.0,3.0,42.0,5.0,0.8,139.0,train
1890,115.9577,39.7603,78,82.0,3.0,33.0,9.0,0.7,92.0,test
1891,116.4672,39.7733,78,120.0,1.0,54.0,1.0,1.0,82.0,test
1892,115.986,40.4563,78,10.0,3.0,27.0,2.0,0.9,20.0,train
1893,116.6151,40.3053,78,99.0,3.0,41.0,7.0,0.8,145.0,train
1895,116.84,40.3844,78,108.0,4.0,39.0,6.0,0.8,152.0,train
1897,116.2202,40.2915,79,67.0,3.0,44.0,5.0,0.8,99.0,train
1898,116.4174,39.9289,79,100.0,1.0,59.0,3.0,0.9,124.0,train
1899,116.4072,39.8863,79,100.0,1.0,72.0,1.0,1.0,126.0,train
1900,116.462,39.9365,79,93.0,1.0,46.0,5.0,1.0,136.0,train
1903,116.6636,40.135,79,96.0,3.0,31.0,18.0,0.8,135.0,train
1904,116.6275,40.3275,79,71.0,3.0,36.0,7.0,0.8,126.0,train
1905,116.2296,40.217,79,85.0,3.0,55.0,2.0,0.9,129.0,train
1906,116.3966,39.9821,79,101.0,1.0,56.0,8.0,0.9,149.0,train
1908,115.9718,40.4529,79,18.0,3.0,24.0,1.0,0.7,31.0,train
1909,117.0709,40.1465,79,87.0,3.0,20.0,23.0,0.9,123.0,test
1910,116.8336,40.4095,79,92.0,3.0,36.0,3.0,0.8,142.0,train
